school_name,state_school_id,nces_id,course_id,course_name,num_students_female,num_students_black_or_african_american,num_students_hispanic_or_latino,num_students_american_indian_or_native_alaskan,num_students_native_hawaiian_or_pacific_islander,num_students_free_or_reduced_lunch,num_students_special_education_status,num_students_english_language_learner_status
MIZE ATTENDANCE CENTER,MS-6500-6500004,280402000758,110142,EXPLORING COMPUTER SCIENCE (ACADEMIC),52,97,,,,>=95%,,
RALEIGH HIGH SCHOOL,MS-6500-6500008,280402000759,110142,EXPLORING COMPUTER SCIENCE (ACADEMIC),0,*,,,,>=95%,,
TAYLORSVILLE ATTENDANCE CENTER,MS-6500-6500012,280402000762,110142,EXPLORING COMPUTER SCIENCE (ACADEMIC),53,84,*,,,>=95%,*,*
STONE HIGH SCHOOL,MS-6600-6600012,280417000790,000283,EXPLORING COMPUTER SCIENCE (CTE),*,*,,,,>=95%,,
STONE HIGH SCHOOL,MS-6600-6600012,280417000790,000283,EXPLORING COMPUTER SCIENCE (CTE),0,*,,,,>=95%,,
"THOMAS E. EDWARDS, SR. HIGH SCHOOL",unspecified,unspecified,000283,EXPLORING COMPUTER SCIENCE (CTE),*,*,,,,>=95%,,
SENATOBIA HIGH SCHOOL,MS-6920-6920008,280393000751,000283,EXPLORING COMPUTER SCIENCE (CTE),*,*,,,,>=95%,,
FALKNER HIGH SCHOOL,MS-7011-7011008,280327000638,000283,EXPLORING COMPUTER SCIENCE (CTE),0,*,,,,>=95%,,
WALNUT ATTENDANCE CENTER,MS-7011-7011012,280327000640,000283,EXPLORING COMPUTER SCIENCE (CTE),*,*,,,,>=95%,,
BELMONT SCHOOL,MS-7100-7100004,280426000803,000283,EXPLORING COMPUTER SCIENCE (CTE),*,*,,,,>=95%,,
TISHOMINGO COUNTY HIGH SCHOOL,MS-7100-7100024,280426001227,000283,EXPLORING COMPUTER SCIENCE (CTE),0,,*,,,37.9%,,*
NEW ALBANY HIGH SCHOOL,MS-7320-7320008,280312000615,902154,DC - COMPUTER PROGRAMMING I,34,66,,,,>=95%,*,
VICKSBURG HIGH SCHOOL,MS-7500-7500025,280447000830,110142,EXPLORING COMPUTER SCIENCE (ACADEMIC),*,*,*,,,>=95%,*,
GREENVILLE HIGH SCHOOL,MS-7620-7620032,280162000244,110142,EXPLORING COMPUTER SCIENCE (ACADEMIC),*,*,,,,>=95%,,
LOUISVILLE HIGH SCHOOL,MS-8020-8020008,280270000523,902154,DC - COMPUTER PROGRAMMING I,*,*,*,,,40.9%,*,*
WATER VALLEY HIGH SCHOOL,MS-8113-8113004,280450000845,110145,COMPUTER SCIENCE PRINCIPLES - ADVANCED PLACEMENT,*,*,*,,,59.0%,,*
YAZOO COUNTY HIGH SCHOOL,MS-8200-8200004,280480000890,110145,COMPUTER SCIENCE PRINCIPLES - ADVANCED PLACEMENT,*,13,,,,>=95%,*,
