nces_id,ai_code,name,city,state,zip,num_teachers,num_students
170993000889,140877,HUBBARD HIGH SCHOOL,CHICAGO,IL,60629,1,28
170993000942,140640,LANE TECHNICAL HIGH SCHOOL,CHICAGO,IL,60618,1,80
170993000977,141307,MATHER HIGH SCHOOL,CHICAGO,IL,60659,1,17
170993001180,141345,VON STEUBEN METRO SCIENCE HS,CHICAGO,IL,60625,1,18
170993001198,141016,CURIE METROPOLITAN HIGH SCHOOL,CHICAGO,IL,60632,1,25
170993001980,140899,HANCOCK COLLEGE PREPARATORY HS,CHICAGO,IL,60629,1,29
170993003542,140869,UNIV OF CHICAGO CHARTER SCHOOLS,CHICAGO,IL,60637,1,36
170993005795,141141,INFINITY MATH  SCIENCE & TECH HS,CHICAGO,IL,60623,1,25
170993006138,141042,SOLORIO ACADEMY HIGH SCHOOL,CHICAGO,IL,60632,1,32
171137001367,141515,CRYSTAL LAKE CENTRAL HIGH SCHOOL,CRYSTAL LAKE,IL,60014,1,13
171137001368,141517,CRYSTAL LAKE SOUTH HIGH SCHOOL,CRYSTAL LAKE,IL,60014,1,29
171137002154,141519,PRAIRIE RIDGE HIGH SCHOOL,CRYSTAL LAKE,IL,60012,1,40
171397001755,141805,YORK COMM HIGH SCHOOL,ELMHURST,IL,60126,1,26
171683001989,140534,GLENBARD NORTH HIGH SCHOOL,CAROL STREAM,IL,60188,1,22
171908002193,141570,DEERFIELD HIGH SCHOOL,DEERFIELD,IL,60015,1,24
171908002194,142275,HIGHLAND PARK HIGH SCHOOL,HIGHLAND PARK,IL,60035,2,66
171932002222,142300,HINSDALE CENTRAL HIGH SCHOOL,HINSDALE,IL,60521,1,8
172190002460,142530,LAKE ZURICH HIGH SCHOOL,LAKE ZURICH,IL,60047,1,34
172283002531,142620,LIBERTYVILLE HIGH SCHOOL,LIBERTYVILLE,IL,60048,1,22
172853002986,143927,NILES NORTH HIGH SCHOOL,SKOKIE,IL,60077,1,78
172853002988,143926,NILES WEST HIGH SCHOOL,SKOKIE,IL,60077,1,5
172928003070,143245,OAK PARK & RIVER FOREST HIGH SCH,OAK PARK,IL,60302,1,39
173372003469,141097,RIDGEWOOD COMM HIGH SCHOOL,NORRIDGE,IL,60706,1,20
173891005071,,WOLCOTT SCHOOL,THORNTON,IL,60476,1,5
174080004097,142175,WARREN TOWNSHIP HIGH SCHOOL,GURNEE,IL,60031,1,56
174125004141,144322,WAUKEGAN HIGH SCHOOL,WAUKEGAN,IL,60085,2,53
174389004357,144515,ZION-BENTON TWNSHP HI SCH,ZION,IL,60099,1,20
180001801789,151773,CHRISTEL HOUSE ACADEMY SOUTH,INDIANAPOLIS,IN,46225,1,8
180120000193,150445,CARMEL HIGH SCHOOL,CARMEL,IN,46032,1,113
180417000722,151405,GRIFFITH SENIOR HIGH SCHOOL,GRIFFITH,IN,46319,1,12
181008001618,153175,SEYMOUR SENIOR HIGH SCHOOL,SEYMOUR,IN,47274,1,21
181065001752,151045,HAMILTON SOUTHEASTERN HS,FISHERS,IN,46037,1,44
181065002392,151041,FISHERS HIGH SCHOOL,FISHERS,IN,46038,1,10
181126001819,153405,TELL CITY JR-SR HIGH SCHOOL,TELL CITY,IN,47586,1,8
181308002075,153735,WESTFIELD HIGH SCHOOL,WESTFIELD,IN,46074,1,41
193099001805,164635,WEST LIBERTY HIGH SCHOOL,WEST LIBERTY,IA,52776,1,8
220030000151,192678,CAPTAIN SHREVE HIGH SCHOOL,SHREVEPORT,LA,71105,1,6
231185000731,201045,VINALHAVEN SCHOOL,VINALHAVEN,ME,4863,1,24
240015001342,210651,HUNTINGTOWN HIGH SCHOOL,HUNTINGTOWN,MD,20639,1,20
240027000144,211059,WESTLAKE HIGH SCHOOL,WALDORF,MD,20603,2,25
240027000596,210685,LA PLATA HIGH SCHOOL,LA PLATA,MD,20646,1,13
240027000600,210823,MAURICE J. MCDONOUGH HIGH SCHOOL,POMFRET,MD,20675,1,12
240027001395,,ROBERT D. STETHEM EDUCATIONAL CENTER,POMFRET,MD,20675,1,5
240027001416,211061,NORTH POINT HIGH SCHOOL,WALDORF,MD,20603,1,33
240027001727,211067,ST. CHARLES HIGH SCHOOL,WALDORF,MD,20602,1,10
240033000655,211055,WALKERSVILLE HIGH,WALKERSVILLE,MD,21793,1,14
240033001550,210550,TUSCARORA HIGH,FREDERICK,MD,21703,1,8
240036000674,210785,SOUTHERN GARRETT HIGH SCHOOL,OAKLAND,MD,21550,1,19
240042000719,210968,ATHOLTON HIGH,COLUMBIA,MD,21044,1,63
240042000722,210509,CENTENNIAL HIGH,ELLICOTT CITY,MD,21042,2,193
240042000731,210593,GLENELG HIGH,GLENELG,MD,21737,1,25
240042000743,210512,MOUNT HEBRON HIGH,ELLICOTT CITY,MD,21042,1,57
240042000816,210402,RIVER HILL HIGH,CLARKSVILLE,MD,21029,1,120
240042000822,210415,LONG REACH HIGH,COLUMBIA,MD,21045,1,29
240042001200,210557,RESERVOIR HIGH,FULTON,MD,20759,1,78
240042001437,210745,MARRIOTTS RIDGE HIGH,MARRIOTTSVILLE,MD,21104,1,79
240048000784,210250,BETHESDA-CHEVY CHASE HIGH,BETHESDA,MD,20814,1,62
240048000838,210560,GAITHERSBURG HIGH,GAITHERSBURG,MD,20877,1,27
240048000855,210960,JOHN F. KENNEDY HIGH,SILVER SPRING,MD,20902,1,11
240048000912,210914,ROCKVILLE HIGH,ROCKVILLE,MD,20851,1,29
240048000918,210582,SENECA VALLEY HIGH,GERMANTOWN,MD,20874,1,15
240048000926,210969,SPRINGBROOK HIGH,SILVER SPRING,MD,20904,1,54
240048000941,210271,WALT WHITMAN HIGH,BETHESDA,MD,20817,1,24
240048000951,211085,WHEATON HIGH,SILVER SPRING,MD,20906,2,46
240048001040,210589,NORTHWEST HIGH,GERMANTOWN,MD,20874,1,28
240048001366,210947,NORTHWOOD HIGH SCHOOL,SILVER SPRING,MD,20901,1,15
240048001509,210564,QUINCE ORCHARD HIGH,GAITHERSBURG,MD,20878,1,38
240048001525,210568,WATKINS MILL HIGH,GAITHERSBURG,MD,20879,1,10
240048001541,210381,CLARKSBURG HIGH,CLARKSBURG,MD,20871,1,69
240051002951,210980,CHARLES HERBERT FLOWERS HIGH,SPRINGDALE,MD,20774,1,75
250004600819,221947,PROSPECT HILL ACADEMY CHARTER SCHOOL,CAMBRIDGE,MA,2139,1,2
250198000053,220033,ARLINGTON HIGH,ARLINGTON,MA,2476,1,38
250210000070,220065,ASHLAND HIGH,ASHLAND,MA,1721,1,24
250309000385,220435,BROCKTON HIGH,BROCKTON,MA,2301,1,19
250648000935,221095,IPSWICH HIGH,IPSWICH,MA,1938,1,14
250798001262,221440,MILTON HIGH,MILTON,MA,2186,1,19
262814006385,233015,PINCKNEY  COMMUNITY HIGH SCHOOL,PINCKNEY,MI,48169,1,21
273239001379,242125,ROSEMOUNT SENIOR HIGH,ROSEMOUNT,MN,55068,1,37
320006000007,290090,BASIC HIGH SCHOOL,HENDERSON,NV,89015,1,23
320006000111,290025,VIRGIN VALLEY HIGH SCHOOL,MESQUITE,NV,89027,1,6
320006000277,290119,LAS VEGAS ACADEMY OF INT'L STUDIES  PERFORMING AND,LAS VEGAS,NV,89101,1,17
320006000405,290121,CHEYENNE HIGH SCHOOL,NORTH LAS VEGAS,NV,89032,1,11
320006000406,290115,CIMARRON MEMORIAL HIGH SCHOOL,LAS VEGAS,NV,89128,1,14
320006000420,290132,SILVERADO HIGH SCHOOL,LAS VEGAS,NV,89123,1,13
320006000595,290209,SHADOW RIDGE HIGH SCHOOL,LAS VEGAS,NV,89131,1,18
320006000661,290204,ARBOR VIEW HIGH SCHOOL,LAS VEGAS,NV,89131,1,22
320006000748,290227,EAST CAREER TECHNICAL ACADEMY,LAS VEGAS,NV,89142,1,23
320006000755,290225,NORTHWEST CAREER AND TECHNICAL ACADEMY,LAS VEGAS,NV,89149,1,7
320006000778,290215,VETERANS TRIBUTE CAREER TECHINCAL ACADEMY,LAS VEGAS,NV,89106,1,38
320006000780,290213,SOUTHWEST CAREER AND TECHNICAL ACADEMY,LAS VEGAS,NV,89113,1,43
340203000960,310140,BORDENTOWN REGIONAL HIGH SCHOOL,BORDENTOWN,NJ,8505,1,83
340360000324,310263,CRESSKILL HIGH SCHOOL,CRESSKILL,NJ,7626,1,14
360005904803,332891,RENAISSANCE CHARTER SCHOOL (THE),JACKSON HEIGHTS,NY,11372,1,13
360007600695,333608,EAST SIDE COMMUNITY SCHOOL,NEW YORK,NY,10009,1,11
360007705500,333783,MANHATTAN BRIDGES HIGH SCHOOL,NEW YORK,NY,10019,1,16
360008705183,330591,FORDHAM HIGH SCHOOL FOR THE ARTS,BRONX,NY,10458,1,33
360008805810,330492,ACADEMY FOR SCHOLARSHIP AND ENTREPRENEURSHIP,BRONX,NY,10466,1,19
360010002881,332585,THOMAS A EDISON CAREER AND TECHNICAL HIGH SCHOOL,JAMAICA,NY,11432,1,29
360010205511,332904,INFORMATION TECHNOLOGY HIGH SCHOOL,LONG ISLAND CITY,NY,11101,1,32
