id,Name,Scientific Name,Conservation Status,Primary Color,Diet,Image of Range,Image of Bird
35,Gouldian Finch,Erythrura gouldiae,Near Threatened,Green,seeds,https://images.squarespace-cdn.com/content/v1/56df530ab09f958ca5645f6a/1457479277527-U33DADRQG8HLDAUPG045/ke17ZwdGBToddI8pDm48kCtTARQZ-BaasQ3bbWXrIS8UqsxRUqqbr1mOJYKfIPR7LoDQ9mXPOjoJoqy81S2I8N_N4V1vUb5AoIIIbLZhVYxCRW4BPu10St3TBAUQYVKcZWqU7au7RpBH6bEBlAuq1S7yqsPY0jO6P5L5ZU-ViTEPn_Yl6G-1_68ZF8F5Vhl8/Erythrura-gouldiae-range.jpg,https://www.birdsville.net.au/wp-content/uploads/2011/07/Gouldian-finch1.jpg
36,Great Blue Heron,Ardea herodias,Least Concern,Grey,"fish, crabs, insects, frogs",https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Great_Blue_Heron-rangemap.gif/330px-Great_Blue_Heron-rangemap.gif,https://avibirds.com/wp-content/uploads/2020/08/great-blue-heron-400x442.jpg
37,Great Curassow,Crax rubra,Vulnerable,Black,"fruits, anthropods",https://www.oiseaux.net/maps/svg/grand.hocco.svg,https://i.pinimg.com/originals/62/8b/a5/628ba5fefe540ae3bc80c4b2a81b3a81.jpg
38,Great Frigatebird,Fregata minor,Least Concern,Black,"fish, crabs, jellyfish",https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Fregata_distribution.png/220px-Fregata_distribution.png,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/191038011/320
39,Great Hornbill,Buceros bicornis,Near Threatened,Black,fruit,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/BucerosBicornisMap.svg/330px-BucerosBicornisMap.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Great_hornbill_Photograph_by_Shantanu_Kuveskar.jpg/330px-Great_hornbill_Photograph_by_Shantanu_Kuveskar.jpg
40,Great Potoo,Nyctibius grandis,Least Concern,Brown,flying insects,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Nyctibius_grandis.gif/330px-Nyctibius_grandis.gif,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/244162041/1200
41,Great White Pelican,Pelecanus onocrotalus,Least Concern,White,fish,https://www.allaboutbirds.org/guide/assets/photo/31950111-720px.jpg,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/140480041/1800
42,Greater Flamingo,Phoenicopterun roseus,Least Concern,Pink,"plankton, tiny fish, crustaceans",https://www.theanimalfiles.com/images/greater_flamingo_range.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flamant_rose_Salines_de_Thyna.jpg/1200px-Flamant_rose_Salines_de_Thyna.jpg
43,Harpy Eagle,Harpia harpyja,Near Threatened,Grey,"monkeys, birds, sloths,",https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Harpy_Eagle_Range.svg/330px-Harpy_Eagle_Range.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Harpia_harpyja_001_800.jpg/330px-Harpia_harpyja_001_800.jpg
44,Hawaiian Stilt,Himantopus mexicanus knudseni,Endangered,Black,"fish, crabs, worms, insects",https://ecos.fws.gov/arcgis/rest/directories/arcgisoutput/tess/RangeMap_MapServer/_ags_map0687d169c38841a1a8ed74181d7cedda.png,https://upload.wikimedia.org/wikipedia/commons/1/1a/Black-necked_Stilt.jpg
