name_s,url_s,kind_s,codeorg_b,csedweek_b,hourofcode_b,description_t
Kidcoders Academy,http://www.kidcodersacademy.gm/,international,FALSE,FALSE,TRUE,
Kids and Code,http://www.kidsandcode.org,international,TRUE,FALSE,TRUE,
Kids Code Jeunesse,http://kidscodejeunesse.org/,international,TRUE,FALSE,TRUE,
Korea Information Science Education Federation,http://kcode.kr/,international,TRUE,FALSE,TRUE,
Love To Code,http://www.lovetocode.kz/,international,TRUE,FALSE,TRUE,
Makers Academy,http://makersacademy.net,international,FALSE,FALSE,TRUE,
Malaysia Digital Economy Corporation,https://mdec.com.my/,international,TRUE,FALSE,TRUE,
Miur,http://www.istruzione.it/,international,TRUE,FALSE,TRUE,
moinworld,https://moinworld.de/,international,FALSE,FALSE,TRUE,
Moscow Coding School,http://moscoding.ru/,international,TRUE,FALSE,TRUE,
Nuc Ba Academia,,international,FALSE,FALSE,TRUE,
OMGTech,https://omgtech.co.nz/,international,TRUE,FALSE,TRUE,
Paltel Group,http://www.paltelgroup.ps/,international,TRUE,FALSE,TRUE,
Partners In Research Canada,http://www.pirweb.org/,international,TRUE,FALSE,TRUE,
Pi Jam Foundation,http://www.thepijam.org,international,TRUE,FALSE,TRUE,
PlanB. GmbH,http://www.plan-b-gmbh.com/,international,TRUE,FALSE,TRUE,
Progracademy,http://www.progracademy.org/,international,TRUE,FALSE,TRUE,
Programae,http://www.programae.org.br/,international,TRUE,FALSE,TRUE,
Programar,http://program.ar/,international,TRUE,FALSE,TRUE,
Programma Il Futuro,https://www.programmailfuturo.it/,international,TRUE,FALSE,TRUE,
Rana Maroun Jbeily Foundation,,international,FALSE,FALSE,TRUE,
Rishs International School,http://www.rishsinternationalschool.com/,international,FALSE,FALSE,TRUE,
RobinCode,http://www.robincode.org/,international,TRUE,FALSE,TRUE,
Sault Ste. Marie Innovation Centre,https://ssmic.com/,international,FALSE,FALSE,TRUE,
Siamentis,https://www.siamentis.com/,international,FALSE,FALSE,TRUE,
Student Edge,https://studentedge.com.au/,international,TRUE,FALSE,TRUE,
