school_code,school_name
100202,West Nassau County High School
100204,Ida S Baker High School
100231,Clay Virtual Academy
100233,Pinecrest Preparatory Academy Charter High School
100247,East Ridge High School
100249,North Broward Preparatory School
100275,Clewiston High School
100286,Cooper City High School
100289,Coral Gables Senior High School
100293,Gulliver Preparatory School
100299,Coral Springs High School
100328,Monarch High School
100332,Coral Glades High School
100344,William T McFatter Technical High School
100347,NSU University School
100355,Mainland High School
100380,Deerfield Beach High School
100393,Deland High School
100420,Atlantic Community High School
100426,American Heritage School Boca-Delray
100440,Satellite High School
100460,Fernandina Beach High School
100466,Lake Brantley High School
100475,Saint Thomas Aquinas High School
100476,Western High School
100478,Hollywood Hills High School
100480,Dillard High School
100492,Westminster Academy
100495,Pine Crest School
100496,Nova High School
100508,Bishop Verot High School
100511,Canterbury School
100527,John Carroll High School
100543,F W Buchholz High School
100555,P K Yonge School
100585,Clay High School
100594,Dunbar High School
100602,Calvary Christian Academy
100662,Hialeah High School
100675,Hilliard Middle-Senior High School
100720,Citrus High School
100729,Allen D Nease High School
100740,Bishop Kenny High School
100745,Bolles School
100761,Episcopal School of Jacksonville
100769,Mandarin High School
100775,Stanton College Preparatory School
100796,William M Raines High School
100800,D U Fletcher High School
100805,Hamilton County High School
100825,Jupiter Community Senior High School
100838,Mater Academy Charter High School
100845,Key West High School
100856,Gateway High School
100865,LaBelle High School
100881,Lake Mary Preparatory School
100896,Mckeel Academy Of Technology
100922,Academy at the Lakes
100924,Land O'Lakes High School
100944,Lecanto High School
100960,Lyman High School
100978,Doral Academy Charter High School
100986,Lake Howell High School
100991,Miami Lakes Educational Center
101003,Holy Trinity Episcopal Academy
101009,West Shore Junior-Senior High School
101025,Melbourne High School
101032,Miami Country Day School
101047,Carrollton Sacred Heart School
101048,Christopher Columbus High School
101055,Palmer-Trinity School
101059,Belen Jesuit Preparatory School
101075,Miami Senior High School
101095,Ransom Everglades Upper School
101101,South Miami Senior High School
101161,Maritime And Science Technical Academy
101172,Miramar High School
101182,Robert Morgan Educational Center
101185,Montverde Academy
101191,Barbara Goleman High School
101206,Community School-Naples
101207,Barron Collier High School
101234,Scheck Hillel Community School
101236,North Miami Beach Senior High School
101239,Benjamin School
101248,Cypress Creek High School
101271,Monsignor Edward Pace High School
101275,St John's Country Day School
101285,Bishop Moore Catholic High School
101290,Edgewater High School
101294,Lake Highland Preparatory School
101297,Evans High School
101309,University High School
101310,William R Boone High School
101315,Oviedo High School
101316,First Academy
101348,Marjory Stoneman Douglas High School
101355,Bay High School
101357,A Crawford Mosley High School
101361,Rutherford High School
101375,Pensacola High School
101403,Covenant Christian School
101420,Plant City High School
101422,American Heritage School Plantation
101424,Charles W Flanagan High School
101430,Blanche Ely High School
101436,Port Charlotte High School
101437,Spruce Creek High School
101466,Suncoast Community High School
101485,Saint Cloud High School
101510,Gibbs Senior High School
101514,Ridgeview High School
101516,Lakewood Senior High School
101521,Northside Christian School
101532,David Posnack Jewish Day School
101540,Gulf Coast High School
101541,Florida Virtual High School
101543,Southeast High School
101550,Pompano Beach High School
101557,Crooms Academy of Information Technology
101560,J W Mitchell High School
101565,Seminole High School
101577,Pine View School
101597,Osceola Fundamental High School
101607,J R Arnold High School
101623,Miami Palmetto Senior High School
101641,Timber Creek High School
101648,Maclay School
101654,Lawton Chiles High School
101656,Olympia High School
101663,James Rickards High School
101686,Berkeley Preparatory School
101700,Plant Senior High School
101705,Hillsborough High School
101717,King Senior High School
101728,Robinson Senior High School
101750,Blake High School
101751,Paul Wharton High School
101752,Walter L Sickles High School
101765,Middleton High School
101778,Bloomingdale Senior High School
101780,Venice High School
101790,Indian River Charter High School
101791,South Walton High School
101793,Saint Edwards School
101798,Fleming Island High School
101801,Freedom High School
101807,Everglades High School
101814,Sagemont School
101817,McArthur High School
101833,Villages Charter School
101839,Wellington High School
101842,Cypress Bay High School
101843,Somerset Academy High School
101898,Trinity Preparatory School
101902,Winter Park High School
101979,Ocoee High School
101981,Hagerty High School
101983,International Studies Charter High School
101994,Seminole Ridge Community High School
102026,Shorecrest Preparatory School
102067,Wiregrass Ranch High School
102068,Ronald W Reagan Doral Senior High School
102069,Doral Performing Arts and Entertainment Academy
102070,Viera High School
102071,Score Academy Palm Beach Gardens
102126,Mater Lakes Academy High School
