School Name,School Code
Kent Denver School,60530
Pine Creek High School,60316
Alamosa High School,60025
Rangeview High School,60077
Lotus School for Excellence,60089
Fairview High School,60118
Monarch High School,60130
Brighton High School,60145
Prairie View High School,60796
Calhan High School,60173
Canon City Senior High School,60200
Cherry Creek High School,60515
Overland High School,60076
Grandview High School,60081
Eaglecrest High School,60066
Cheyenne Mountain High School,60268
Vanguard School at Cheyenne Mountain Charter Academy,60249
Coronado High School,60273
Doherty High School,60296
Montezuma-Cortez High School,60305
Delta High School,60365
Hotchkiss High School,60770
Paonia Senior High School,61145
Cedaredge High School,60230
Abraham Lincoln High School,60367
George Washington High School,60413
North High School,60428
South High School,60455
Thomas Jefferson High School,60457
Mlk Junior Early College Middle High School,60484
DSST Montview High School,60604
KIPP Denver Collegiate High School,60492
Northeast Early College,60372
West Leadership Academy,60553
Strive Prep-Excel,60554
Dsst-Cole High School,60013
Dsst-College View High School,60255
Northfield High School,60014
DSST-Conservatory Green High School,60524
Douglas County High School,60225
Ponderosa High School,61151
Mountain Vista High School,60747
Castle View High School,60193
Rock Canyon High School,60748
SkyView Academy,60739
STEM School Highlands Ranch,60741
Durango High School,60475
Eagle Valley High School,60725
Elizabeth High School,60510
Englewood High School,60525
Colorado's Finest High School Of Choice,60516
Estes Park High School,60550
Sand Creek High School,60314
Poudre High School,60587
Ridgeview Classical School,60598
Fossil Ridge High School,60606
PSD Global Academy,60622
Fountain-Fort Carson High School,60615
Basalt High School,60080
Glenwood Springs High School,60665
Roaring Fork High School,60210
Central High School,60690
Fruita Monument High School,60630
Grand Junction High School,60695
Greeley West High School,60712
Frontier Academy,60717
Northridge High School,60711
Sierra High School,60293
Lake City Community School,60894
Arvada West High School,60057
Columbine High School,60927
Evergreen Senior High School,60560
Green Mountain High School,60883
Pomona High School,60058
Wheat Ridge Senior High School,61450
Conifer High School,60311
Dakota Ridge High School,60923
Ralston Valley High School,60051
Jefferson Academy Secondary School,60161
Arapahoe High School,60928
Heritage High School,60929
Longmont High School,60935
Niwot High School,60937
Skyline High School,60938
Silver Creek High School,60953
Erie High School,60545
Mead High School,60962
APEX Homeschool Program,60032
Berthoud High School,60095
Loveland High School,60950
Mountain View High School,60951
Manitou Springs High School,60970
Moffat County High School,60315
Montrose High School,61035
Olathe High School,61095
Lewis Palmer High School,61040
Palmer Ridge High School,61041
Peetz Junior-Senior High School,61155
Centennial High School,61190
Ridgway Secondary School,61225
Rifle High School,61230
Salida High School,61250
