School Code,School Name,School Address,City,Zip,State
101101,South Miami Senior High School,6856 SW 53RD ST,MIAMI,33155,FL
101131,Our Lady of Lourdes Academy,,,,FL
101140,Miami Beach Senior High School,2231 PRAIRIE AVE,MIAMI BEACH,33139,FL
101147,Miami Springs Senior High School,751 DOVE AVE,MIAMI SPRINGS,33166,FL
101161,Maritime And Science Technical Academy,3979 RICKENBACKER CSWY,KEY BISCAYNE,33149,FL
101172,Miramar High School,3601 SW 89TH AVE,MIRAMAR,33025,FL
101185,Montverde Academy,,,,FL
101191,Barbara Goleman High School,14100 NW 89TH AVE,MIAMI LAKES,33018,FL
101198,Mount Dora Christian Academy,,,,FL
101206,Community School-Naples,,,,FL
101207,Barron Collier High School,5600 COUGAR DR,NAPLES,34109,FL
101219,River Ridge High School,11646 TOWN CENTER RD,NEW PORT RICHEY,34654,FL
101234,Scheck Hillel Community School,,,,FL
101239,Benjamin School,,,,FL
101248,Cypress Creek High School,1101 BEAR CROSSING DR,ORLANDO,32824,FL
101271,Monsignor Edward Pace High School,,,,FL
101275,St John's Country Day School,,,,FL
101285,Bishop Moore Catholic High School,,,,FL
101287,Colonial High School,6100 OLEANDER DR,ORLANDO,32807,FL
101290,Edgewater High School,3100 EDGEWATER DR,ORLANDO,32804,FL
101294,Lake Highland Preparatory School,,,,FL
101295,Jones High School,801 S RIO GRANDE AVE,ORLANDO,32805,FL
101297,Evans High School,4949 SILVER STAR RD,ORLANDO,32808,FL
101298,Oak Ridge High School,700 W OAK RIDGE RD,ORLANDO,32809,FL
101309,University High School,2450 COUGAR WAY,ORLANDO,32817,FL
101310,William R Boone High School,1000 E KALEY ST,ORLANDO,32806,FL
101315,Oviedo High School,601 KING ST,OVIEDO,32765,FL
101320,Pahokee Senior High School,900 LARRIMORE RD,PAHOKEE,33476,FL
101330,Palatka High School,302 MELLON RD,PALATKA,32177,FL
101341,Palm Beach Gardens High School,4245 HOLLY DR,PALM BEACH GARDENS,33410,FL
101348,Marjory Stoneman Douglas High School,5901 PINE ISLAND RD,PARKLAND,33076,FL
101355,Bay High School,1200 HARRISON AVE,PANAMA CITY,32401,FL
101357,A Crawford Mosley High School,501 MOSLEY DR,LYNN HAVEN,32444,FL
101361,Rutherford High School,1000 SCHOOL AVE,PANAMA CITY,32401,FL
101365,Pensacola Catholic High School,,,,FL
101371,Escambia High School,1310 N 65TH AVE,PENSACOLA,32506,FL
101375,Pensacola High School,500 W MAXWELL ST,PENSACOLA,32501,FL
101381,Pine Forest High School,2500 LONGLEAF DR,PENSACOLA,32526,FL
101390,Booker T Washington High School,6000 COLLEGE PKWY,PENSACOLA,32504,FL
101413,South Plantation High School,1300 PALADIN WAY,PLANTATION,33317,FL
101422,American Heritage School Plantation,,,,FL
101424,Charles W Flanagan High School,12800 TAFT ST,PEMBROKE PINES,33028,FL
101433,Coconut Creek High School,1400 NW 44TH AVE,COCONUT CREEK,33066,FL
101436,Port Charlotte High School,18200 COCHRAN BLVD,PORT CHARLOTTE,33948,FL
101466,Suncoast Community High School,1717 AVENUE S,RIVIERA BEACH,33404,FL
101474,Faith Christian Academy,,,,FL
101485,Saint Cloud High School,2000 BULLDOG LANE,ST CLOUD,34769,FL
101493,Royal Palm Beach Community High School,10600 OKEECHOBEE BLVD,ROYAL PALM BEACH,33411,FL
101494,Navarre High School,8600 HIGH SCHOOL BLVD,NAVARRE,32566,FL
101504,Canterbury School of Florida,,,,FL
101505,Boca Ciega Senior High School,924 58TH ST S,GULFPORT,33707,FL
101507,Dixie Hollins High School,4940 62ND ST N,KENNETH CITY,33709,FL
101510,Gibbs Senior High School,850 34TH ST S,ST PETERSBURG,33711,FL
101520,Northeast High School,5500 16TH ST N,ST PETERSBURG,33703,FL
101525,Pembroke Pines Charter High School,17189 SHERIDAN ST,PEMBROKE PINES,33331,FL
101528,Riverview Senior High School,11311 BOYETTE RD,RIVERVIEW,33569,FL
101530,Saint Petersburg High School,2501 5TH AVE N,ST PETERSBURG,33713,FL
101532,David Posnack Jewish Day School,,,,FL
101540,Gulf Coast High School,7878 SHARK WAY,NAPLES,34119,FL
101550,Pompano Beach Institute of International Studies,600 NE 13TH AVE,POMPANO BEACH,33060,FL
101565,Seminole High School,2701 RIDGEWOOD AVE,SANFORD,32773,FL
101577,Pine View School,1 PYTHON PATH,OSPREY,34229,FL
101579,Out of Door Academy,,,,FL
101590,Sebastian River High School,9001 90TH AVE,SEBASTIAN,32958,FL
101592,Bayside High School,1901 DEGROODT RD SW,PALM BAY,32908,FL
101597,Osceola Fundamental High School,9751 98TH ST,SEMINOLE,33777,FL
101605,Choctawhatchee High School,110 RACETRACK RD NW,FORT WALTON BEACH,32547,FL
101607,J R Arnold High School,550 N ALF COLEMAN RD,PANAMA CITY BEACH,32407,FL
101641,Timber Creek High School,1001 AVALON PARK BLVD,ORLANDO,32828,FL
101650,Florida Agricultural and Mechanical Developmental Research School,400 W ORANGE AVE,TALLAHASSEE,32305,FL
