School Name,School Code
Peachtree Ridge High School,112866
Mill Creek High School,111653
Gwinnett School of Mathematics Science and Technology,111140
Archer High School,111802
Lanier High School,112859
Gwinnett Online Campus,112284
North Hall High School,111395
Chestatee High School,111371
Harris County High School,111545
Luella High School,111854
Perry High School,112390
Houston County High School,113151
Jackson County Comprehensive High School,110425
East Jackson Comprehensive High School,110846
Lowndes High School,113080
Morgan County High School,111965
Columbus High School,110825
Eastside High School,110898
Oconee County High School,113190
North Oconee High School,110401
North Paulding High School,110965
Academy of Richmond County,110275
Westside High School,110303
Cross Creek High School,110286
Rockdale County High School,110860
Rome High School,112608
Thomas County Central High School,112973
Loganville High School,111850
Saint Pius X Catholic High School,110226
Darlington Middle Upper School,112585
Walker School,111986
Lovett School,110185
Blessed Trinity Catholic High School,112618
Whitefield Academy,110169
Our Lady of Mercy Catholic High School,111269
Wesleyan School,110261
Kings Ridge Christian School,110059
The Weber School,110196
Landmark Christian School,111273
Ben Franklin Academy,110134
Mount Pisgah Christian School,110062
Hawaii Baptist Academy,120030
Maui High School,120000
James B Castle High School,120155
Mililani High School,120197
Moanalua High School,120076
James Campbell High School,120003
Henry J Kaiser High School,120038
Kealakehe High School,120174
