Budget,Company,Country,Director,Genre,Gross,Name,Rating,Released,Runtime,Score,Star,Votes,Writer,Year
60000000,Paramount Pictures,USA,Kenneth Branagh,Action,50577412,Jack Ryan: Shadow Recruit,PG-13,January,105,6.2,Chris Pine,105471,Adam Cozad,2014
15000000,Bob Industries,USA,Jean-Marc Vallée,Adventure,37880356,Wild,R,December,115,7.1,Reese Witherspoon,98839,Nick Hornby,2014
3000000,SModcast Pictures,USA,Kevin Smith,Comedy,1821983,Tusk,R,September,102,5.4,Justin Long,35556,Kevin Smith,2014
66000000,DreamWorks,USA,Scott Waugh,Action,43577636,Need for Speed,PG-13,March,132,6.5,Aaron Paul,145738,George Gatins,2014
50000000,Reel FX Creative Studios,USA,Jorge R. Gutiérrez,Animation,50151543,The Book of Life,PG,October,95,7.3,Diego Luna,51976,Jorge R. Gutiérrez,2014
18000000,Good Universe,USA,Nicholas Stoller,Comedy,150157400,Neighbors,R,May,97,6.3,Seth Rogen,242874,Andrew Jay Cohen,2014
100000000,Metro-Goldwyn-Mayer (MGM),USA,José Padilha,Action,58607007,RoboCop,PG-13,February,117,6.2,Joel Kinnaman,193792,Joshua Zetumer,2014
127000000,Twentieth Century Fox Film Corporation,UK,Shawn Levy,Adventure,113746621,Night at the Museum: Secret of the Tomb,PG,December,98,6.2,Ben Stiller,78239,David Guion,2014
12600000,Big Screen Productions,USA,Michaël R. Roskam,Crime,10724389,The Drop,R,September,106,7.1,Tom Hardy,119833,Dennis Lehane,2014
11000000,DiNovi Pictures,USA,R.J. Cutler,Drama,50474843,If I Stay,PG-13,August,107,6.8,Chloë Grace Moretz,95609,Shauna Cross,2014
145000000,DreamWorks Animation,USA,Dean DeBlois,Animation,177002924,How to Train Your Dragon 2,PG,June,102,7.8,Jay Baruchel,243596,Dean DeBlois,2014
0,G4 Productions,USA,Chris Evans,Comedy,37047,Before We Go,PG-13,July,95,6.9,Chris Evans,34243,Ronald Bass,2014
5000000,HanWay Films,USA,Adam Wingard,Mystery,322600,The Guest,R,September,100,6.7,Dan Stevens,73747,Simon Barrett,2014
125000000,Paramount Pictures,USA,Jonathan Liebesman,Action,191204754,Teenage Mutant Ninja Turtles,PG-13,August,101,5.8,Megan Fox,181678,Josh Appelbaum,2014
70000000,Summit Entertainment,USA,Renny Harlin,Action,18848538,The Legend of Hercules,PG-13,January,100,4.2,Kellan Lutz,47597,Sean Hood,2014
30000000,Angry Films,USA,Mark Waters,Action,7791146,Vampire Academy,PG-13,February,104,5.6,Zoey Deutch,45199,Richelle Mead,2014
100000000,Alcon Entertainment,UK,Wally Pfister,Drama,23022309,Transcendence,PG-13,April,119,6.3,Johnny Depp,189106,Jack Paglen,2014
0,Verisimilitude,USA,Mike Cahill,Drama,334658,I Origins,R,September,106,7.3,Michael Pitt,90264,Mike Cahill,2014
24000000,Annapurna Pictures,USA,Bennett Miller,Biography,12096300,Foxcatcher,R,January,134,7,Steve Carell,117034,E. Max Frye,2014
13000000,Chernin Entertainment,USA,Theodore Melfi,Comedy,44134898,St. Vincent,PG-13,October,102,7.3,Bill Murray,82653,Theodore Melfi,2014
14000000,Open Road Films,Belgium,Erik Van Looy,Mystery,5981749,El penthouse,R,January,108,6.3,Karl Urban,40462,Bart De Pauw,2014
25000000,Paramount Pictures,USA,Rupert Wyatt,Crime,33631221,The Gambler,R,December,111,6,Mark Wahlberg,53990,William Monahan,2014
8000000,Treehouse Pictures,USA,Tom Gormican,Comedy,26049082,That Awkward Moment,R,January,94,6.2,Zac Efron,83613,Tom Gormican,2014
10000000,The Weinstein Company,USA,Tim Burton,Biography,14479776,Big Eyes,PG-13,December,106,7,Amy Adams,66972,Scott Alexander,2014
9000000,Universal Pictures,France,James DeMonaco,Action,71962800,12 horas para sobrevivir,R,July,103,6.5,Frank Grillo,110032,James DeMonaco,2014
50000000,StudioCanal,UK,Jaume Collet-Serra,Action,92168600,Non-Stop,PG-13,February,106,7,Liam Neeson,216312,John W. Richardson,2014
50000000,Broken Road Productions,USA,Steven Quale,Action,47602194,Into the Storm,PG-13,August,89,5.8,Richard Armitage,57376,John Swetnam,2014
50000000,Warner Bros.,USA,David Dobkin,Crime,47119388,The Judge,R,October,141,7.4,Robert Downey Jr.,150371,Nick Schenk,2014
35000000,Universal Pictures,USA,Bobby Farrelly,Adventure,86208010,Dumb and Dumber To,PG-13,November,109,5.7,Jim Carrey,107048,Sean Anders,2014
0,Sidney Kimmel Entertainment,USA,Steven Brill,Comedy,39751,Walk of Shame,R,May,95,6,Elizabeth Banks,44493,Steven Brill,2014
5000000,Legendary Entertainment,USA,John Erick Dowdle,Horror,21197315,"As Above, So Below",R,August,93,6.2,Perdita Weeks,57343,John Erick Dowdle,2014
17000000,Genre Films,USA,Luke Greenfield,Comedy,82390774,Let's Be Cops,R,August,104,6.5,Jake Johnson,114845,Luke Greenfield,2014
42000000,BenderSpink,USA,Sean Anders,Comedy,54445357,Horrible Bosses 2,R,November,108,6.3,Jason Bateman,129349,Sean Anders,2014
20000000,Before The Door Pictures,USA,J.C. Chandor,Crime,5740310,A Most Violent Year,R,January,125,7,Oscar Isaac,52607,J.C. Chandor,2014
19800000,21 Laps Entertainment,USA,Shawn Levy,Comedy,34290142,This Is Where I Leave You,R,September,103,6.6,Jason Bateman,59852,Jonathan Tropper,2014
30000000,Screen Gems,USA,Scott Derrickson,Horror,30577122,Deliver Us from Evil,R,July,118,6.2,Eric Bana,58772,Scott Derrickson,2014
60000000,Village Roadshow Pictures,USA,Akiva Goldsman,Drama,22451,Winter's Tale,PG-13,February,118,6.2,Colin Farrell,45005,Akiva Goldsman,2014
22000000,Scott Free Productions,UK,Rowan Joffe,Drama,2963012,Before I Go to Sleep,R,October,92,6.3,Nicole Kidman,56415,Rowan Joffe,2014
20000000,Bluegrass Films,USA,Shana Feste,Drama,23393765,Endless Love,PG-13,February,104,6.3,Gabriella Wilde,34658,Shana Feste,2014
16800000,Gravier Productions,USA,Woody Allen,Comedy,10506939,Magic in the Moonlight,PG-13,August,97,6.6,Colin Firth,53136,Woody Allen,2014
30000000,2929 Productions,Czech Republic,Susanne Bier,Drama,176305,Serena,R,February,109,5.4,Bradley Cooper,20668,Christopher Kyle,2014
